A,xsec,density,ev,rc1,rc2,nt,K,L1,L2,L3,M1,M2,M3,M4,M5,N1,N2,N3,N4,N5,N6,N7,O1,O2,O3,O4,O5,P1,P2,P3
85.4678,141.923,1.529,492353,-0.25194,-0.1584,-0.008787,15199.7,2065.1000000000004,1863.8999999999999,1804.4,322.1,247.4,238.5,111.8,110.3,,,,,,,,,,,,,,,
87.62,145.497,2.54,480259,-0.2689,-0.1692,-0.0090407,16104.600000000002,2216.2999999999997,2006.8000000000002,1939.6,357.5,279.8,269.1,135,133.1,37.699999999999996,19.900000000000002,19.900000000000002,,,,,,,,,,,,
88.9059,147.632,4.456,473313,-0.28657,-0.18,-0.0093851,17038.399999999998,2372.5,2155.5,2080,393.6,312.40000000000003,300.3,159.6,157.4,45.400000000000006,25.6,25.6,,,,,,,,,,,,
91.22,151.474,6.494,461306,-0.30496,-0.1914,-0.0096221,17997.6,2531.6,2306.7000000000003,2222.3,430.3,344.2,330.5,182.4,180,51.3,28.7,28.7,4.0234499999999995,,,,,,,,,,,
92.9064,154.275,8.55,452932,-0.32408,-0.2028,-0.0099257,18985.600000000002,2697.7000000000003,2464.7000000000003,2370.5,468.4,378.40000000000003,363,207.4,204.6,58.1,33.9,33.9,3.2,,,,,,,,,,,
95.94,159.312,10.2,438611,-0.34394,-0.2154,-0.010086,19999.5,2865.5,2625.1000000000004,2520.2,504.6,409.7,392.29999999999995,230.3,227,61.800000000000004,34.8,34.8,1.8,1.8,,,,,,,,,,
98,162.733,11.48,429391,-0.36457,-0.228,-0.01035,21044,3042.5,2793.2000000000003,2676.8999999999996,547.6,444.90000000000003,425,256.40000000000003,252.9,68.4,38.9,38.9,7.0115799999999995,6.72942,,,,,,,,,,
101.07,167.831,12.39,416348,-0.38596,-0.2406,-0.010508,22117.2,3224,2966.9,2837.9,585,482.8,460.6,283.6,279.4,74.89999999999999,43.1,43.1,2,2,,,,,,,,,,
102.9055,170.879,12.39,408922,-0.40814,-0.2544,-0.010795,23219.899999999998,3411.9,3146.1,3003.8,627.1,521,496.2,311.7,307,81,47.9,47.9,2.5,2.5,,,,,,,,,,
106.42,176.715,12,395417,-0.43111,-0.2682,-0.010908,24350.3,3604.2999999999997,3330.2999999999997,3173.2999999999997,669.9000000000001,559.1,531.5,340,334.7,86.4,51.1,51.1,5.44663,5.01841,,,,,,,,,,
107.8682,179.119,10.48,390109,-0.4549,-0.2826,-0.011234,25514,3805.8,3523.7,3351.1000000000004,717.5,602.4000000000001,571.4,372.8,366.70000000000005,95.2,62.6,55.9,3.3,3.3,,,,,,,,,,
112.41,186.661,8.63,374347,-0.47951,-0.2976,-0.011244,26711.2,4018,3727,3537.5,770.2,650.6999999999999,616.5,410.5,403.7,107.6,66.9,66.9,9.299999999999999,9.299999999999999,,,,,,,,,,
114.82,190.663,7.3,366489,-0.50495,-0.3126,-0.011471,27939.9,4237.5,3938,3730.1000000000004,825.6,702.2,664.3,450.79999999999995,443.09999999999997,121.89999999999999,77.39999999999999,77.39999999999999,16.2,16.2,,,,,,,,,,
118.69,197.09,7.3,354540,-0.53125,-0.3282,-0.011555,29200.1,4464.7,4156.1,3928.7999999999997,883.8000000000001,756.4,714.4000000000001,493.3,484.8,136.5,88.6,88.6,23.900000000000002,23.900000000000002,,,,,,,,,,
121.75,202.171,6.679,345629,-0.55841,-0.345,-0.01172,30491.2,4698.299999999999,4380.4,4132.2,943.6999999999999,811.9,765.5999999999999,536.9000000000001,527.5,152,98.4,98.4,31.4,31.4,,,,,,,,,,
127.6,211.885,6.23,329783,-0.58644,-0.3612,-0.011625,31813.8,4939.2,4612,4341.400000000001,1006,869.7,818.6999999999999,582.5,572.1,168.3,110.2,110.2,39.800000000000004,39.800000000000004,,,,,,,,,,
126.9045,210.73,4.92,331590,-0.61537,-0.3786,-0.012143,33169.4,5188.1,4852.1,4557.1,1072.1000000000001,930.5,874.6,631.3,619.4,186.4,122.7,122.7,49.6,49.6,,,,,,,,,,
131.29,218.012,0.005458,320514,-0.64519,-0.396,-0.012184,34561.4,5452.8,5103.7,4782.2,1144.6000000000001,999,937,685.4,672.3,208.1,146.7,146.7,64,64,,,,,,,,,,
132.9054,220.695,1.87,316619,-0.67594,-0.414,-0.012486,35984.6,5714.299999999999,5359.4,5011.9,1217.1000000000001,1065,997.6,739.5,725.5,230.8,172.3,161.6,78.8,76.5,,,22.700000000000003,13.100000000000001,11.4,,,,,
137.33,228.042,3.5,306417,-0.70761,-0.4326,-0.012527,37440.600000000006,5988.8,5623.599999999999,5247,1292.8,1136.7,1062.2,796.1,780.6999999999999,253,191.8,179.7,92.5,89.89999999999999,,,39.1,16.6,14.6,,,,,
138.9055,230.658,6.127,302942,-0.74022,-0.4518,-0.012831,38924.6,6266.3,5890.6,5482.700000000001,1361.3,1204.3999999999999,1123.3999999999999,848.5,831.7,270.4,205.8,191.39999999999998,98.9,98.9,,,32.300000000000004,14.4,14.4,,,,,
