z,src,dest,satellite,probability,energy_eV
24,5,3,0,0.01,510.22299355185066
25,4,1,0,1.0,5898.896548377107
25,3,1,0,0.5,5887.803447325918
25,8,3,0,0.3,648.7921896028242
25,5,4,0,0.02,556.2323348277242
25,5,3,0,0.01,567.4333520965662
26,4,1,0,1.0,6404.009598618815
26,3,1,0,0.5,6391.003383184348
26,8,3,0,0.2,718.3324880249114
26,5,4,0,0.08,615.0009297276772
26,5,3,0,0.02,627.768037635948
27,4,1,0,1.0,6930.517587486568
27,3,1,0,0.5,6915.48023722563
27,8,3,0,0.18,791.4221079605496
27,5,4,0,0.09,676.7695820584046
27,5,3,0,0.02,693.8119050537197
28,4,1,0,1.0,7478.342457256408
28,3,1,0,0.5,7461.061377048275
28,8,3,0,0.21,868.7841597162056
28,5,4,0,0.08,741.9759870323143
28,5,3,0,0.03,759.2418091432929
29,4,1,0,1.0,8047.994718355645
29,3,1,0,0.5,8028.036145863397
29,6,1,0,0.06,8903.072485501918
29,8,3,0,0.2,949.8520449942521
29,5,4,0,0.05,810.3541662294099
29,5,3,0,0.01,830.9932133585772
30,4,1,0,1.0,8639.110018680954
30,3,1,0,0.5,8615.996346983997
30,8,3,0,0.26,1034.6673406751206
30,5,4,0,0.04,882.1358052870845
30,5,3,0,0.02,904.9940688547425
31,4,1,0,1.0,9251.998942831751
31,3,1,0,0.5,9225.013945915156
31,7,1,0,0.14,10264.52635861707
31,6,1,0,0.07,10260.618813514273
31,8,3,0,0.35,1124.7771698548465
31,5,4,0,0.01,957.1851110406834
31,5,3,0,0.01,984.2358294284332
32,4,1,0,1.0,9886.702079909071
32,3,1,0,0.5,9855.580435219093
32,7,1,0,0.14,10982.354016431318
32,6,1,0,0.07,10978.269766336662
32,8,3,0,0.35,1218.5178126103167
32,7,2,0,0.01,1294.0631190178449
32,6,2,0,0.01,1286.1430231649347
32,5,4,0,0.01,1036.2238815971562
32,5,3,0,0.01,1068.0005808691508
33,4,1,0,1.0,10543.948994208567
33,3,1,0,0.5,10508.292221439628
33,7,1,0,0.15,11726.49081936061
33,12,1,0,0.01,11864.515543837293
33,6,1,0,0.07,11720.615546269222
